"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-28-2025 20:00","1738094404","0.785","0.105","0.06","0.035","0.012","0.0055","0.0035","0.003","0.002","0.001","0.0005","0.0005","0.0005","0.001"
"01-28-2025 21:00","1738098004","0.81","0.105","0.05","0.0275","0.0095","0.0045","0.003","0.0025","0.002","0.001","0.0005","0.0005","0.0005","0.001"
"01-28-2025 22:00","1738101604","0.845","0.075","0.05","0.0215","0.009","0.004","0.0025","0.0025","0.002","0.001","0.0005","0.0005","0.0005","0.0005"
"01-28-2025 23:00","1738105204","0.79","0.095","0.05","0.024","0.0115","0.0055","0.0025","0.0005","0.002","0.001","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 00:00","1738108804","0.805","0.1","0.06","0.027","0.0055","0.004","0.0035","0.001","0.002","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 01:00","1738112404","0.79","0.105","0.065","0.027","0.008","0.0075","0.0035","0.0015","0.002","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 02:00","1738116004","0.78","0.125","0.06","0.0245","0.0085","0.0075","0.0025","0.0015","0.002","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 03:00","1738119604","0.785","0.115","0.06","0.026","0.008","0.0075","0.0025","0.0015","0.002","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 04:00","1738123204","0.79","0.115","0.06","0.026","0.008","0.0075","0.0055","0.001","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 05:00","1738126804","0.755","0.125","0.055","0.0265","0.017","0.0065","0.004","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 06:00","1738130404","0.715","0.155","0.07","0.0345","0.014","0.007","0.004","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 07:00","1738134004","0.41","0.22","0.15","0.066","0.0395","0.032","0.007","0.001","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 08:00","1738137605","0.58","0.2","0.085","0.056","0.025","0.0095","0.007","0.001","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-29-2025 09:00","1738141204","0.505","0.2","0.11","0.0555","0.0295","0.025","0.007","0.0015","0.0015","0.001","0.001","0.0005","0.0005","0.0005"
"01-29-2025 10:00","1738144804","0.53","0.245","0.125","0.063","0.0305","0.0135","0.0075","0.0015","0.0015","0.001","0.001","0.001","0.001","0.001"
"01-29-2025 11:00","1738148404","0.455","0.245","0.145","0.0575","0.028","0.012","0.007","0.0015","0.0015","0.001","0.001","0.001","0.001","0.001"
"01-29-2025 12:00","1738152004","0.475","0.245","0.155","0.057","0.0265","0.012","0.007","0.002","0.0015","0.001","0.001","0.001","0.001","0.001"
"01-29-2025 13:00","1738155604","0.52","0.215","0.135","0.0595","0.0255","0.01","0.007","0.002","0.0015","0.001","0.001","0.001","0.001","0.0015"
"01-29-2025 14:00","1738159204","0.385","0.23","0.2","0.114","0.0335","0.016","0.009","0.0045","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 15:00","1738162804","0.315","0.265","0.18","0.106","0.0575","0.0365","0.0175","0.0055","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 16:00","1738166404","0.35","0.245","0.18","0.0955","0.0575","0.0425","0.017","0.0045","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 17:00","1738170004","0.31","0.265","0.19","0.1245","0.064","0.0515","0.0175","0.005","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 18:00","1738173604","0.33","0.25","0.185","0.1225","0.067","0.045","0.0175","0.005","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 19:00","1738177204","0.35","0.235","0.175","0.1275","0.0665","0.0325","0.0155","0.0045","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 20:00","1738180804","0.345","0.25","0.195","0.1085","0.05","0.0225","0.015","0.0055","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 21:00","1738184404","0.385","0.265","0.18","0.098","0.06","0.017","0.011","0.0035","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 22:00","1738188004","0.285","0.32","0.19","0.0865","0.047","0.0205","0.007","0.0035","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
"01-29-2025 23:00","1738191605","0.315","0.295","0.18","0.1165","0.045","0.021","0.0075","0.0025","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 00:00","1738195205","0.33","0.3","0.185","0.1185","0.0445","0.021","0.007","0.0035","0.0015","0.002","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 01:00","1738198805","0.315","0.31","0.19","0.118","0.0475","0.02","0.0075","0.0035","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 02:00","1738202405","0.26","0.345","0.175","0.12","0.051","0.021","0.0075","0.002","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
